start_speed,ep_steps,ep_reward,terminated,truncated,no_crash,t_min_start,t_min_min,t_min_final,t_min_mean_last100,t_min_settle_step,x_pos_final,x_vel_final,theta_final,theta_dot_final,energy_final,acc_final
3.4,1000,-14.272509452615306,False,True,True,0.0,5.7711949142924205e-08,5.7711949142924205e-08,5.771194914292422e-08,44,8.326672684688674e-17,0.0,3.1415923570604294,-5.316679372616335e-08,1.4133539775602013e-13,0.0
3.6,1000,-16.403903392774144,False,True,True,0.0,5.7711949142924205e-08,5.7711949142924205e-08,5.771194914292422e-08,30,8.326672684688674e-17,0.0,3.1415925271492475,-4.2531059553830974e-07,9.044455133857585e-12,0.0
3.8,1000,-18.82903181001733,False,True,True,0.0,5.7711949142924205e-08,5.7711949142924205e-08,5.771194914292422e-08,35,8.326672684688674e-17,0.0,3.141592537208004,1.1729613756464843e-07,6.879191943792465e-13,0.0
4.0,1000,-21.718605371804756,False,True,True,0.0,5.7711949142924205e-08,5.7711949142924205e-08,5.771194914292422e-08,39,8.326672684688674e-17,0.0,3.1415925921507317,4.7413091039604856e-07,1.1240006009649291e-11,0.0
4.2,1000,-25.798323309287273,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,39,-2.7755575615628914e-17,0.0,3.1415925068303756,-5.052527980906672e-07,1.2764019498922428e-11,0.0
4.4,1000,-28.90327723409404,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,35,-2.7755575615628914e-17,0.0,3.1415926088863095,-1.5249081755185682e-07,1.1626724718816843e-12,0.0
4.6,1000,-32.95500004888273,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,55,2.7755575615628914e-17,0.0,3.141592611442945,-3.663799587389293e-07,6.711713708276976e-12,0.0
4.8,1000,-36.67601840316016,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,41,2.7755575615628914e-17,0.0,3.1415924559035506,7.664370818161209e-08,2.937129001914056e-13,0.0
5.0,1000,-41.174267152694654,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,57,-2.7755575615628914e-17,0.0,3.141592214068683,4.513563614172761e-07,1.0186128249592137e-11,0.0
5.2,1000,-46.18676538185041,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,63,-2.7755575615628914e-17,0.0,3.1415921826093687,3.299598689751041e-07,5.4436757567033926e-12,0.0
5.4,1000,-53.367171992796266,False,True,True,0.0,1.9992005651630742e-07,1.0462695173143489e-06,1.019547345997927e-06,50,-2.736699755701011e-14,-2.7755575615628914e-17,3.1415920690158914,-5.929421352270015e-08,1.757901878802353e-13,0.0
5.6,1000,-56.77744998498565,False,True,True,0.0,0.0,0.0,0.0,52,0.0,0.0,3.1415925617328666,3.375050842143215e-07,5.695484093525812e-12,0.0
5.8,1000,-62.36552392226412,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,47,-2.7755575615628914e-17,0.0,3.141592384542323,-3.0481525522661e-07,4.64561699094317e-12,0.0
6.0,1000,-68.22081046832346,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,60,-2.7755575615628914e-17,0.0,3.1415922427931284,-1.13279552228928e-07,6.416128476593214e-13,0.0
6.2,1000,-76.6486806865716,False,True,True,0.0,0.0,0.0,0.0,50,0.0,0.0,3.141592483038208,4.7414972482229875e-08,1.124089807745308e-13,0.0
6.4,1000,-83.18865498266696,False,True,True,0.0,0.0,0.0,0.0,58,0.0,0.0,3.1415924251593177,4.5655352420720567e-07,1.0422056023300976e-11,0.0
6.6,1000,-91.27002999954796,False,True,True,0.0,0.0,0.0,0.0,59,0.0,0.0,3.1415925998628924,-4.995864015610795e-07,1.2479328631237408e-11,0.0
6.8,1000,-98.29787516907747,False,True,True,0.0,0.0,0.0,0.0,63,0.0,0.0,3.1415924627618206,-3.444958271323113e-07,5.933868745578765e-12,0.0
7.0,1000,-105.76746141165656,False,True,True,0.0,0.0,0.0,0.0,72,0.0,0.0,3.1415920620305844,-2.008723512602058e-07,2.017485075040175e-12,0.0
7.2,1000,-113.34901678042955,False,True,True,0.0,0.0,0.0,0.0,61,0.0,0.0,3.1415925536297653,6.022195986100948e-07,1.813342224750519e-11,0.0
7.4,1000,-121.46942689353187,False,True,True,0.0,0.0,0.0,0.0,84,0.0,0.0,3.1415924514606086,3.9203362795270335e-07,7.684518272287931e-12,0.0
7.6,1000,-131.17615667051842,False,True,True,0.0,3.3320009373125275e-08,1.0329202908444396e-06,1.005840162182343e-06,67,2.6673108166619386e-14,2.7755575615628914e-17,3.1415923174042732,6.130749961545081e-07,1.8793047545662666e-11,0.0
7.8,1000,-140.59910941356415,False,True,True,0.0,0.0,0.0,0.0,64,0.0,0.0,3.1415923154286314,-7.060908819493922e-07,2.492821667860353e-11,0.0
8.0,1000,-153.08527074396162,False,True,True,0.0,3.3320009373125275e-08,5.7711949142924205e-08,5.771194914292422e-08,67,8.326672684688674e-17,0.0,3.141592446576246,6.00000635464729e-07,1.8000038127903932e-11,0.0
8.2,1000,-162.08163184009518,False,True,True,0.0,3.3320009373125275e-08,5.7711949142924205e-08,5.771194914292422e-08,80,8.326672684688674e-17,0.0,3.1415921165274674,-5.141642216634824e-07,1.3218242341940733e-11,0.0
8.4,1000,-171.2841624434823,False,True,True,0.0,3.3320009373125275e-08,5.7711949142924205e-08,5.771194914292422e-08,84,8.326672684688674e-17,0.0,3.141592653589793,5.93034567230262e-07,1.7584499896499206e-11,0.0
8.6,1000,-180.86572185870347,False,True,True,0.0,3.3320009373125275e-08,5.7711949142924205e-08,5.771194914292422e-08,79,8.326672684688674e-17,0.0,3.1415921250710017,-6.809210495124395e-07,2.3182673783456103e-11,0.0
8.8,1000,-190.39831140920288,False,True,True,0.0,3.3320009373125275e-08,5.7711949142924205e-08,5.771194914292422e-08,72,8.326672684688674e-17,0.0,3.141592137183393,-1.6304000117440177e-07,1.3291020991474465e-12,0.0
9.0,1000,-201.65029472306782,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,79,2.7755575615628914e-17,0.0,3.1415921737353827,-1.5322400584321946e-07,1.1738797983321473e-12,0.0
9.2,1000,-212.58641824070068,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,74,2.7755575615628914e-17,0.0,3.1415924055850444,5.478534768193192e-07,1.5007171603150812e-11,0.0
9.4,1000,-223.22849300951955,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,73,2.7755575615628914e-17,0.0,3.1415924930993757,3.340926831011341e-08,5.5808960450857416e-14,0.0
9.6,1000,-237.05024466461745,False,True,True,0.0,3.3320009373125275e-08,1.024285486980737e-06,9.969685667629053e-07,87,2.6229018956769323e-14,2.7755575615628914e-17,3.1415926088863095,-5.493220913437721e-07,1.508773800176231e-11,0.0
9.8,1000,-251.32044353309178,False,True,True,0.0,3.3320009373125275e-08,8.815645848363065e-08,8.815645848363065e-08,73,1.942890293094024e-16,0.0,3.1415923392494536,-2.3710087947245643e-07,2.810841352330616e-12,0.0
10.0,1000,-263.85574747223137,False,True,True,0.0,3.3320009373125275e-08,1.0215721431767476e-06,9.94179941267175e-07,83,-2.609024107869118e-14,-2.7755575615628914e-17,3.141592566701839,7.834538537786623e-07,3.0689997049814436e-11,0.0
